Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,4393.649999999999,52723.80,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
GBG-Sizing > Frankfurt Pricing Group,Europe (Frankfurt),Private DR Instance in Frankfurt,Amazon EC2 ,0,66.37700000000001,796.52,USD,,"Tenancy (Shared Instances), Operating system (Ubuntu Pro), Workload (Consistent, Number of instances: 1), Advance EC2 instance (t4g.xlarge), Pricing strategy (Amazon EC2 Instance Savings Plans 3yr No Upfront), Enable monitoring (enabled), EBS Storage amount (100 GB), DT Inbound: Internet (0 TB per month), DT Outbound: All other regions (100 GB per month), DT Intra-Region: (50 GB per month)"
GBG-Sizing > Frankfurt Pricing Group,Europe (Frankfurt),Single AZ DB instance in Frankfurt,Amazon RDS for MySQL,0,259.47,3113.64,USD,,"Storage amount (100 GB), Storage for each RDS instance (General Purpose SSD (gp3)), Nodes (1), Instance type (db.m7g.xlarge), Utilization (On-Demand only) (730 Hours/Month), Deployment option (Single-AZ), Pricing strategy (Database Savings Plans 1yr No Upfront), Total Size of Backup Processed for Export (GB) (100 per month)"
GBG-Sizing > Frankfurt Pricing Group,Europe (Frankfurt),Networking Costs in Frankfurt,Public IPv4 Address,0,14.6,175.20,USD,,"Number of In-use public IPv4 addresses (4), Number of Idle public IPv4 addresses (0)"
GBG-Sizing > Frankfurt Pricing Group,Europe (Frankfurt),Networking Costs in Frankfurt,Data Transfer,0,27.5,330.00,USD,,"DT Inbound: Not selected (0 GB per month), DT Outbound: All other regions (50 GB per month), DT Outbound: Internet (250 GB per month), DT Intra-Region: (200 GB per month), Data transfer cost (27.5)"
GBG-Sizing > Frankfurt Pricing Group,Europe (Frankfurt),Networking Costs in Frankfurt,Network Address Translation (NAT) Gateway,0,39.52,474.24,USD,,"Number of Regional NAT Gateways (1), Number of Availability Zones Regional NAT Gateways is active in (1), Number of NAT Gateways (1)"
GBG-Sizing > Frankfurt Pricing Group,Europe (Frankfurt),Frankfurt Bastion,Amazon EC2 ,0,8.462,101.54,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 1), Advance EC2 instance (t3.small), Pricing strategy (Amazon EC2 Instance Savings Plans 3yr No Upfront), Enable monitoring (disabled), EBS Storage amount (8 GB), DT Inbound: Not selected (0 GB per month), DT Outbound: Internet (1 GB per month), DT Intra-Region: (1 GB per month)"
GBG-Sizing > Frankfurt Pricing Group,Europe (Frankfurt),ALB in single AZ Frankfurt,Application Load Balancer,0,23.71,284.52,USD,,Number of Application Load Balancers (1)
GBG-Sizing > Frankfurt Pricing Group,Europe (Frankfurt),CloudWatch in Frankfurt,Amazon CloudWatch,0,22.621499999999997,271.46,USD,,"Number of mobile OTEL events and spans or spans per visit (70), Mobile sampling rate (1), Number of Metrics (includes detailed and custom metrics) (10), GetMetricData: Number of metrics requested (15000), Number of other API requests (10000), Standard Logs: Data Ingested (25 GB), Number of Dashboards (4), Number of Standard Resolution Alarm Metrics (5)"
GBG-Sizing > Frankfurt Pricing Group,Europe (Frankfurt),,AWS Certificate Manager,0,0,0.00,USD,,Number of API calls (10000 per month)
GBG-Sizing > N. Virginia Pricing Group,US East (N. Virginia),Machines in Virginia under the ASG,Amazon EC2 ,0,267.74857499999996,3212.98,USD,,"Tenancy (Shared Instances), Operating system (Ubuntu Pro), Workload (Weekly, Baseline: 6, Peak: 8, Duration of peak: 2 Day 0 Hr 0 Min), Advance EC2 instance (c5a.large), Pricing strategy (Compute Savings Plans 3yr No Upfront), Enable monitoring (enabled), EBS Storage amount (50 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: All other regions (100 GB per month), DT Intra-Region: (20 GB per month)"
